icao_code;iata_code;gps_code;Lat;Long
HEGN;HRG;HEGN;27.178328;33.799438
LCLK;LCA;LCLK;34.875117;33.624858
;HKV;LBMV;41,871799;25,604799
;JAM;LBIA;42,454899;26,3522
BIAR;AEY;BIAR;65,656573;-18,072018
BIBD;BIU;BIBD;65,641296;-23,5462
BIBF;BGJ;BIBF;65,516769;-13,81578
BIBK;BJD;BIBK;66,02189636;-14,82439995
BIBL;BLO;BIBL;65,644997;-20,2875
;BQD;BIBR;65,07530212;-21,8003006
BIBV;BXV;BIBV;64,790037;-14,043927
BIDV;DJU;BIDV;64,642372;-14,277297
BIEG;EGS;BIEG;65,28330231;-14,40139961
BIFF;FAS;BIFF;64,931456;-14,047957
BIFM;FAG;BIFM;63,874699;-16,6411
BIGF;GUU;BIGF;64,991402;-23,224701
BIGJ;GJR;BIGJ;65,9953;-21,3269
BIGR;GRY;BIGR;66,5458;-18,0173
BIHK;HVK;BIHK;65,704697;-21,6964
BIHN;HFN;BIHN;64,295601;-15,2272
;FLI;BIHT;66,01418043;-23,4416914
BIHU;HZK;BIHU;65,952301;-17,426001
;HLO;BIID;66,05000305;-23,69610023
BIIS;IFJ;BIIS;66,058098;-23,1353
BIKF;KEF;BIKF;63,985001;-22,6056
BIKP;OPA;BIKP;66,310799;-16,4667
BIKR;SAK;BIKR;65,73169708;-19,57279968
BINF;NOR;BINF;65,131897;-13,7464
BIOF;OFJ;BIOF;66,083298;-18,6667
BIPA;PFJ;BIPA;65,555801;-23,965
BIRE;RHA;BIRE;65,45262909;-22,20611572
BIRF;OLI;BIRF;64,9114;-23,823099
BIRG;RFN;BIRG;66,406403;-15,9183
BIRK;RKV;BIRK;64,128732;-21,93759
BIRL;MVA;BIRL;65,6558;-16,9181
BISI;SIJ;BISI;66,137847;-18,908157
BIST;SYK;BIST;65,058851;-22,764616
BITE;TEY;BITE;65,8703;-23,559999
BITN;THO;BITN;66,218498;-15,3356
BIVM;VEY;BIVM;63,42430115;-20,27890015
BIVO;VPN;BIVO;65,720596;-14,8506
BKPR;PRN;BKPR;42,5728;21,035801
;TXC;UMIO;54,439999;30,2967
;DHG;;44,558748;135,490005
;DLR;UHHD;45,877949;133,735822
;DPT;UEBD;69,392503;139,890012
EBAW;ANR;EBAW;51,190667;4,463153
